znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
Renault,Megane,213000,bencinski,1598,82,1.550
Renault,Clio,57826,bencinski,1149,54,7.990
Renault,Clio,121900,diesel,1461,55,6.390
Renault,Clio,73610,bencinski,1149,55,1.800
Renault,Captur,99300,bencinski,898,66,9.200
Renault,Megane,220000,diesel,1461,81,3.300
Renault,Megane,153182,bencinski,1390,72,2.100
Renault,Megane,300000,diesel,1870,88,1.300
Renault,Captur,16600,bencinski,1197,87,11.000
Renault,Kangoo,165000,diesel,1461,60,1.850
Renault,Laguna,177000,diesel,1870,85,1.170
Renault,Clio,156000,diesel,1461,60,1.300
Renault,Twingo,67500,bencinski,1149,56,2.890
Renault,Clio,193000,bencinski,1149,43,1.190
Renault,Clio,116000,bencinski,1598,94,4.990
Renault,Kangoo,211230,diesel,1461,62,2.900
Renault,Scenic,230000,diesel,1461,78,1.850
Renault,Espace,128741,diesel,1598,118,19.990
Renault,Twingo,56700,bencinski,1149,43,3.890
Renault,Clio,156100,diesel,1461,48,1.350
Renault,Clio,191000,bencinski,1390,72,1.050
Renault,Clio,179500,bencinski,1390,72,2.790
Renault,Megane,271000,diesel,1461,81,3.999
Renault,Megane,129936,diesel,1461,81,8.680
Renault,Clio,226000,bencinski,1149,55,1.300
Renault,Megane,225181,diesel,1870,96,1.290
Renault,Captur,9460,bencinski,898,66,11.400
Renault,Scenic,134000,diesel,1461,81,8.990
Renault,Megane,233000,bencinski,1397,96,3.650
Renault,Captur,3800,diesel,1461,66,15.600
Renault,Megane,53000,diesel,1598,120,17.500
